sid,att_n,reasoning_type,depth,accuracy,type_adherence,success,novel,composite_quality,attempt_bin
123468,1,none,1.5,3.3,3.0,True,True,2.5200000000000005,0
123468,2,success,1.5,3.0,3.0,True,True,2.4000000000000004,0
123468,3,success,1.5,3.0,3.0,True,True,2.4000000000000004,0
123468,4,success,1.8,3.0,3.0,False,True,2.5200000000000005,0
123468,5,failure,1.8,3.0,3.0,True,True,2.5200000000000005,0
123468,6,success,1.8,3.0,3.0,True,True,2.5200000000000005,0
123468,7,success,1.8,3.0,3.0,False,True,2.5200000000000005,0
123468,8,failure,1.8,3.3,3.0,False,True,2.64,0
123468,9,failure,1.8,3.0,3.0,True,True,2.5200000000000005,0
123468,10,success,1.8,3.0,3.0,True,True,2.5200000000000005,0
123468,11,success,1.8,3.0,3.0,False,True,2.5200000000000005,0
123468,12,failure,1.8,3.0,3.0,False,True,2.5200000000000005,0
123468,13,failure,1.8,3.0,3.0,True,True,2.5200000000000005,0
123468,14,success,1.8,3.0,3.0,False,True,2.5200000000000005,0
123468,15,failure,1.8,3.0,3.0,False,True,2.5200000000000005,0
123468,16,failure,1.8,3.0,3.0,False,True,2.5200000000000005,1
123468,17,failure,1.8,3.3,3.0,False,True,2.64,1
123468,18,failure,1.8,3.0,3.0,False,True,2.5200000000000005,1
123468,19,failure,1.8,3.0,3.0,False,True,2.5200000000000005,1
123468,20,failure,1.8,3.3,3.0,False,True,2.64,1
123468,21,failure,1.8,3.3,3.0,False,True,2.64,1
123468,22,failure,1.8,3.3,3.0,False,True,2.64,1
123468,23,failure,1.8,3.3,3.0,False,True,2.64,1
123468,24,failure,1.8,3.0,3.0,False,True,2.5200000000000005,1
123468,25,failure,1.8,3.0,3.0,False,True,2.5200000000000005,1
123468,26,failure,1.8,3.0,3.0,True,True,2.5200000000000005,1
123468,27,success,1.8,3.0,3.0,False,True,2.5200000000000005,1
123468,28,failure,1.8,3.0,3.0,False,True,2.5200000000000005,1
123468,29,failure,1.8,3.0,3.0,False,True,2.5200000000000005,1
123468,30,failure,1.8,3.0,3.0,False,True,2.5200000000000005,1
123468,31,failure,1.8,3.3,3.0,True,True,2.64,2
123468,32,success,1.8,3.0,3.0,False,True,2.5200000000000005,2
123468,33,failure,1.8,3.3,3.0,False,True,2.64,2
123468,34,failure,1.8,3.3,3.0,True,True,2.64,2
123468,35,success,1.3,3.0,3.0,False,True,2.3200000000000003,2
123468,36,failure,1.8,3.0,3.0,True,True,2.5200000000000005,2
123468,37,success,1.8,3.0,3.0,True,True,2.5200000000000005,2
123468,38,success,1.8,3.0,3.0,True,True,2.5200000000000005,2
123468,39,success,1.8,3.3,3.0,False,True,2.64,2
123468,40,failure,1.8,3.0,3.0,False,True,2.5200000000000005,2
123468,41,failure,1.8,3.3,3.0,True,True,2.64,2
123468,42,success,1.8,3.0,3.0,True,True,2.5200000000000005,2
123468,43,success,1.8,3.0,3.0,True,True,2.5200000000000005,2
123468,44,success,1.8,3.0,3.0,True,True,2.5200000000000005,2
123468,45,success,1.8,3.0,3.0,False,True,2.5200000000000005,2
123468,46,failure,1.8,3.0,3.0,False,True,2.5200000000000005,3
123468,47,failure,1.8,3.0,3.0,False,True,2.5200000000000005,3
123468,48,failure,1.8,3.0,3.0,False,True,2.5200000000000005,3
